,id,name,localisation,places,id_regional
0,1,Bulbizarre,"Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie)",[],-1
1,2,Herbizarre,Évolution de Bulbizarre au niveau 16,[],-1
2,3,Florizarre,Évolution de Herbizarre au niveau 32,[],-1
3,4,Salamèche,"Grands Souterrains (Biome Lave), Grands Souterrains (Biome Sables / Lave)",[],-1
4,5,Reptincel,Évolution de Salamèche au niveau 16,[],-1
5,6,Dracaufeu,Évolution de Reptincel au niveau 36,[],-1
6,7,Carapuce,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Prairie / Eaux)",[],-1
7,8,Carabaffe,Évolution de Carapuce au niveau 16,[],-1
8,9,Tortank,Évolution de Carabaffe au niveau 36,[],-1
9,10,Chenipan,"Diamant : Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie)",[],-1
10,11,Chrysacier,Évolution de Chenipan au niveau 7,[],-1
11,12,Papilusion,Évolution de Chrysacier au niveau 10,[],-1
12,13,Aspicot,"Perle : Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie)",[],-1
13,14,Coconfort,Évolution de Aspicot au niveau 7,[],-1
14,15,Dardargnan,Évolution de Coconfort au niveau 10,[],-1
15,16,Roucool,Route 229,['route-229'],-1
16,17,Roucoups,Évolution de Roucool au niveau 18,[],-1
17,18,Roucarnage,Évolution de Roucoups au niveau 36,[],-1
18,19,Rattata,"Chenal 226, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 225","['route-225', 'chenal-226']",-1
19,20,Rattatac,"Chenal 226, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 225Évolution de Rattata au niveau 20","['route-225', 'chenal-226']",-1
20,21,Piafabec,"Chenal 226, Route 225","['route-225', 'chenal-226']",-1
21,22,Rapasdepic,"Chenal 226, Mont Abrupt, Route 225, Route 227Évolution de Piafabec au niveau 20","['route-225', 'chenal-226', 'route-227', 'mont-abrupt']",-1
22,23,Abo,"Diamant : Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie)",[],-1
23,24,Arbok,Évolution de Abo au niveau 22,[],-1
24,25,Pikachu,Jardin TrophéeÉvolution de Pichu par montée de niveau avec beaucoup d'amitié,['manoir-pokemon'],104
25,26,Raichu,Évolution de Pikachu en utilisant une Pierre Foudre,[],105
26,27,Sabelette,"Perle : Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Sables / Lave), Grands Souterrains (Biome Sables)",[],-1
27,28,Sablaireau,"Perle : Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Sables / Lave), Grands Souterrains (Biome Sables)Évolution de Sabelette au niveau 22",[],-1
28,29,Nidoran♀,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 201",['route-201'],-1
29,30,Nidorina,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Rive Lac Courage, Route 221Évolution de Nidoran♀️ au niveau 16","['route-221', 'rive-lac-courage']",-1
30,31,Nidoqueen,Évolution de Nidorina en utilisant une Pierre Lune,[],-1
31,32,Nidoran♂,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 201",['route-201'],-1
32,33,Nidorino,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Rive Lac Courage, Route 221Évolution de Nidoran♂️ au niveau 16","['route-221', 'rive-lac-courage']",-1
33,34,Nidoking,Évolution de Nidorino en utilisant une Pierre Lune,[],-1
34,35,Mélofée,"Jardin Trophée, Mont CouronnéÉvolution de Mélo par montée de niveau avec beaucoup d'amitié","['manoir-pokemon', 'mont-couronne']",100
35,36,Mélodelfe,Évolution de Mélofée en utilisant une Pierre Lune,[],101
36,37,Goupix,"Perle : Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Lave), Grands Souterrains (Biome Sables / Lave)",[],-1
37,38,Feunard,Évolution de Goupix en utilisant une Pierre Feu,[],-1
38,39,Rondoudou,Jardin TrophéeÉvolution de Toudoudou par montée de niveau avec beaucoup d'amitié,['manoir-pokemon'],-1
39,40,Grodoudou,Évolution de Rondoudou en utilisant une Pierre Lune,[],-1
40,41,Nosferapti,"Chemin Rocheux, Entrée de Charbourg, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie), Grotte des Égarés, Mine de Charbourg, Mont Couronné, Rive Lac Savoir, Route 203, Route 204, Route 206, Route 207, Route 208, Route 209, Route 211, Route 216, Route 217, Tour Perdue, Île de Fer","['route-203', 'route-204', 'route-206', 'route-207', 'route-208', 'route-209', 'route-211', 'route-216', 'route-217', 'chemin-rocheux', 'entree-charbourg', 'grotte-des-egares', 'ile-de-fer', 'mine-charbourg', 'mont-couronne', 'rive-lac-savoir', 'tour-perdue']",28
41,42,Nosferalto,"Chemin Rocheux, Entrée de Charbourg, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie), Grotte du Retour, Mont Abrupt, Mont Couronné, Route 227, Route Victoire, Temple de Frimapic, Tour Perdue, Île de FerÉvolution de Nosferapti au niveau 22","['route-227', 'chemin-rocheux', 'entree-charbourg', 'grotte-retour', 'ile-de-fer', 'mont-abrupt', 'mont-couronne', 'route-victoire', 'temple-frimapic', 'tour-perdue']",29
42,43,Mystherbe,"Chenal 230, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 229","['route-229', 'chenal-230']",-1
43,44,Ortide,"Chenal 230, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 224, Route 229Évolution de Mystherbe au niveau 21","['route-224', 'route-229', 'chenal-230']",-1
44,45,Rafflesia,Évolution de Ortide en utilisant une Pierre Plante,[],-1
45,46,Paras,"Grand Marais, Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie)",['grand-marais'],-1
46,47,Parasect,Évolution de Paras au niveau 24,[],-1
47,48,Mimitoss,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 229",['route-229'],-1
48,49,Aéromite,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 229Évolution de Mimitoss au niveau 31",['route-229'],-1
49,50,Taupiqueur,Route 228,['route-228'],-1
50,51,Triopikeur,Route 228Évolution de Taupiqueur au niveau 26,['route-228'],-1
51,52,Miaouss,Jardin Trophée,['manoir-pokemon'],-1
52,53,Persian,Évolution de Miaouss au niveau 28,[],-1
53,54,Psykokwak,"Bonaugure, Chemin Rocheux, Célestia, Entrée de Charbourg, Grand Marais, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie / Eaux), Lac Courage, Lac Savoir, Lac Vérité, Route 203, Route 204, Route 205, Route 208, Route 209, Route 210, Route 212, Route 214, Vestigion","['route-203', 'route-204', 'route-205', 'route-208', 'route-209', 'route-210', 'route-212', 'route-214', 'chemin-rocheux', 'entree-charbourg', 'grand-marais', 'lac-courage', 'lac-savoir', 'lac-verite']",43
